host_name,src_mac,dest_port,type,network_transport,bytes_in,data_exfil,fn,ext,src_ip-1,src_ip-2,src_ip-3,src_ip-4
web,02:42:ac:10:00:03,80,HTTP,TCP,188.0,1,personal,txt,192,168,207,142
web,02:42:ac:10:00:03,80,HTTP,TCP,188.0,1,personal,txt,192,168,207,142
web,02:42:ac:10:00:03,80,HTTP,TCP,162.0,0,ssh,-,192,168,207,142
web,02:42:ac:10:00:03,80,HTTP,TCP,162.0,0,ssh,-,192,168,207,142
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCoDVWMAA2Rucy5iYXNoAF2P0UrDMBiF732KQwjSWpI0bnZKKPge6.2A2TdpASUYTEXS*uxkBQa/*D/6Pwzk2bLBwHrRaI3itMAXEfq/G/umgdN.8q2KxsRbmhKzh/uguYBrVXjG/RdHuwjxZXRDOBRMGHLzoO3*J*8GImtcq.xzuJ4BKGagK0pQyQ4nRTSYjzE6Lwweglg3uSfY5wo6J5WFdWNrHMzs0bz,bash,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,WqgiDNstW1eKu4oib3W0fiuyWTUKiGOo/KO9t9wRpZ7mcmTTFrKKj9pO3.7ccoXKJ5*e6Wvi2ECkVsKplIBgyGJB7ZX25N/v4sWttxHzkkSO2zcedrk.GiG0JL0/zVsR*tl5RcrPrMOpsv9kRAN*Yrpqmv4unHPu*S/Yaz7o/eNlF.k2S2K7MOmF0UWTlHU83hy4Op2/gWV9vxE5wsAAA==,py,172,17,0,2
