@timestamp,client.ip,destination.ip,destination.port,http.request.method,http.response.status_code,query,url.full,url.path,user_agent.original
"Oct 22, 2022 @ 21:50:36.039",172.28.0.3,172.28.0.2,80,GET,200,GET /Exploit.class,http://172.28.0.2/Exploit.class,/Exploit.class,Java/1.8.0_102
"Oct 22, 2022 @ 21:51:41.992",172.28.0.3,172.28.0.2,8000,GET,200,GET /privilege-esc.sh,http://172.28.0.2:8000/privilege-esc.sh,/privilege-esc.sh,curl/7.38.0
"Oct 22, 2022 @ 21:51:41.789",172.28.0.3,172.28.0.2,8000,GET,200,GET /persistence-tomcat.sh,http://172.28.0.2:8000/persistence-tomcat.sh,/persistence-tomcat.sh,curl/7.38.0
"Oct 22, 2022 @ 21:51:41.147",172.28.0.3,172.28.0.2,8000,GET,200,GET /pers-priv.sh,http://172.28.0.2:8000/pers-priv.sh,/pers-priv.sh,curl/7.38.0
"Oct 22, 2022 @ 21:53:05.515",172.28.0.3,199.232.46.132,80,GET,200,GET /debian/pool/main/n/netcat/netcat_1.10-41_all.deb,http://httpredir.debian.org/debian/pool/main/n/netcat/netcat_1.10-41_all.deb,/debian/pool/main/n/netcat/netcat_1.10-41_all.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
"Oct 22, 2022 @ 21:53:05.481",172.28.0.3,199.232.46.132,80,GET,200,GET /debian/pool/main/n/netcat/netcat-traditional_1.10-41_amd64.deb,http://httpredir.debian.org/debian/pool/main/n/netcat/netcat-traditional_1.10-41_amd64.deb,/debian/pool/main/n/netcat/netcat-traditional_1.10-41_amd64.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
"Oct 22, 2022 @ 21:54:54.834",172.28.0.3,151.101.2.132,80,GET,200,GET /pool/updates/main/p/python3.4/python3.4_3.4.2-1+deb8u7_amd64.deb,http://security.debian.org/pool/updates/main/p/python3.4/python3.4_3.4.2-1+deb8u7_amd64.deb,/pool/updates/main/p/python3.4/python3.4_3.4.2-1+deb8u7_amd64.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
"Oct 22, 2022 @ 21:54:54.750",172.28.0.3,151.101.2.132,80,GET,200,GET /pool/updates/main/f/file/file_5.22+15-2+deb8u7_amd64.deb,http://security.debian.org/pool/updates/main/f/file/file_5.22+15-2+deb8u7_amd64.deb,/pool/updates/main/f/file/file_5.22+15-2+deb8u7_amd64.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
"Oct 22, 2022 @ 21:54:54.399",172.28.0.3,151.101.2.132,80,GET,200,GET /pool/updates/main/p/python3.4/python3.4-minimal_3.4.2-1+deb8u7_amd64.deb,http://security.debian.org/pool/updates/main/p/python3.4/python3.4-minimal_3.4.2-1+deb8u7_amd64.deb,/pool/updates/main/p/python3.4/python3.4-minimal_3.4.2-1+deb8u7_amd64.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
"Oct 22, 2022 @ 21:54:53.905",172.28.0.3,151.101.2.132,80,GET,200,GET /pool/updates/main/p/python3.4/libpython3.4-stdlib_3.4.2-1+deb8u7_amd64.deb,http://security.debian.org/pool/updates/main/p/python3.4/libpython3.4-stdlib_3.4.2-1+deb8u7_amd64.deb,/pool/updates/main/p/python3.4/libpython3.4-stdlib_3.4.2-1+deb8u7_amd64.deb,Debian APT-HTTP/1.3 (1.0.9.8.3)
