@timestamp,action,event.original,filename,source.ip,log_type,message,status,stream,user,bytes_in,bytes_out,destination.ip,destination.port,destination.mac,host_name,network.type,network.transport
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 20:50:01 2022 [pid 76] [attacker] FAIL LOGIN: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:01 2022 [pid 76] [attacker] FAIL LOGIN: Client ""192.168.0.3""",FAIL,stdout,attacker,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",CONNECT,"Sun Oct 23 20:50:19 2022 [pid 81] CONNECT: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:19 2022 [pid 81] CONNECT: Client ""192.168.0.3""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 20:50:22 2022 [pid 80] [xianfu] FAIL LOGIN: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:22 2022 [pid 80] [xianfu] FAIL LOGIN: Client ""192.168.0.3""",FAIL,stdout,xianfu,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",CONNECT,"Sun Oct 23 22:57:59 2022 [pid 29] CONNECT: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 22:57:59 2022 [pid 29] CONNECT: Client ""192.168.0.3""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",CONNECT,"Sun Oct 23 23:10:06 2022 [pid 32] CONNECT: Client ""192.168.0.2""",-,192.168.0.2,FTP_LOG,"Sun Oct 23 23:10:06 2022 [pid 32] CONNECT: Client ""192.168.0.2""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 23:10:12 2022 [pid 31] [admin?] FAIL LOGIN: Client ""192.168.0.2""",-,192.168.0.2,FTP_LOG,"Sun Oct 23 23:10:12 2022 [pid 31] [admin?] FAIL LOGIN: Client ""192.168.0.2""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 20:50:01 2022 [pid 76] [attacker] FAIL LOGIN: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:01 2022 [pid 76] [attacker] FAIL LOGIN: Client ""192.168.0.3""",FAIL,stdout,attacker,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",CONNECT,"Sun Oct 23 20:50:11 2022 [pid 79] CONNECT: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:11 2022 [pid 79] CONNECT: Client ""192.168.0.3""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 20:50:15 2022 [pid 78] [bruteforce] FAIL LOGIN: Client ""192.168.0.3""",-,192.168.0.3,FTP_LOG,"Sun Oct 23 20:50:15 2022 [pid 78] [bruteforce] FAIL LOGIN: Client ""192.168.0.3""",FAIL,stdout,bruteforce,0,0,-,21,-,-,FTP,TCP
"Oct 24, 2022 @ 07:18:06.638",LOGIN,"Sun Oct 23 23:10:12 2022 [pid 31] [admin?] FAIL LOGIN: Client ""192.168.0.2""",-,192.168.0.2,FTP_LOG,"Sun Oct 23 23:10:12 2022 [pid 31] [admin?] FAIL LOGIN: Client ""192.168.0.2""",-,stdout,-,0,0,-,21,-,-,FTP,TCP
