"@timestamp","bytes_in","bytes_out","destination.ip","destination.port","destination.mac","host.name","source.ip","source.mac","source.port","network.transport","network.type","network.packets"
"Oct 23, 2022 @ 06:56:00.003",556B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50608,tcp,ipv4,15
"Oct 23, 2022 @ 06:56:00.003",563B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50618,tcp,ipv4,15
"Oct 23, 2022 @ 06:56:00.003","1,019B","1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50622,tcp,ipv4,15
"Oct 23, 2022 @ 06:56:00.003","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50636,tcp,ipv4,18
"Oct 23, 2022 @ 06:56:00.003","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50650,tcp,ipv4,18
"Oct 23, 2022 @ 06:56:00.003",1KB,"1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50652,tcp,ipv4,15
"Oct 23, 2022 @ 06:56:00.003",1KB,"1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50668,tcp,ipv4,15
"Oct 23, 2022 @ 06:56:00.003","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50680,tcp,ipv4,18
"Oct 23, 2022 @ 06:55:50.002",556B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50608,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:50.002",563B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50618,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:50.002","1,019B","1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50622,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:50.002","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50636,tcp,ipv4,18
"Oct 23, 2022 @ 06:55:50.002","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50650,tcp,ipv4,18
"Oct 23, 2022 @ 06:55:50.002",1KB,"1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50652,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:50.002",1KB,"1.5KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50668,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:50.002","1.4KB","1.6KB","172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50680,tcp,ipv4,18
"Oct 23, 2022 @ 06:55:40.003",556B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50608,tcp,ipv4,15
"Oct 23, 2022 @ 06:55:40.003",563B,544B,"172.20.0.7",22,"02:42:ac:14:00:07",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",50618,tcp,ipv4,15
