"@timestamp","source.ip","source.port","destination.ip","destination.port","network.packets","source.packets","destination.packets","network.bytes","source.bytes","destination.bytes","event.dataset"
"Oct 24, 2022 @ 03:02:50.002","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:02:40.002","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:02:30.001","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:02:20.004","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:02:10.004","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:02:00.002","172.18.0.3",56352,"172.18.0.2",22,227,134,93,"109.6KB","10.9KB","98.7KB",flow
"Oct 24, 2022 @ 03:01:50.002","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 03:01:50.002","172.18.0.3",56352,"172.18.0.2",22,159,90,69,"102.3KB","7.3KB",95KB,flow
"Oct 24, 2022 @ 03:01:40.001","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 03:01:40.001","172.18.0.3",56352,"172.18.0.2",22,129,72,57,"99.6KB","5.8KB","93.9KB",flow
"Oct 24, 2022 @ 03:01:30.002","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 03:01:30.002","172.18.0.3",56352,"172.18.0.2",22,129,72,57,"99.6KB","5.8KB","93.9KB",flow
"Oct 24, 2022 @ 03:01:20.004","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 03:01:20.004","172.18.0.3",56352,"172.18.0.2",22,129,72,57,"99.6KB","5.8KB","93.9KB",flow
"Oct 24, 2022 @ 03:01:10.003","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 03:01:10.003","172.18.0.3",56352,"172.18.0.2",22,25,14,11,"2.6KB","1.2KB","1.3KB",flow
"Oct 24, 2022 @ 02:35:50.003","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:35:40.003","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:35:30.003","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:35:20.002","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:35:10.002","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:35:00.004","172.18.0.3",56352,"172.18.0.2",22,311,177,134,"194.2KB","13.6KB","180.6KB",flow
"Oct 24, 2022 @ 02:34:50.002","172.18.0.3",56352,"172.18.0.2",22,137,89,48,13KB,"7.4KB","5.5KB",flow
"Oct 24, 2022 @ 02:34:40.003","172.18.0.3",56352,"172.18.0.2",22,110,71,39,"10.5KB","5.9KB","4.6KB",flow
"Oct 24, 2022 @ 02:34:30.003","172.18.0.3",56352,"172.18.0.2",22,97,63,34,"9.3KB","5.3KB",4KB,flow
"Oct 24, 2022 @ 02:34:20.043","172.18.0.3",56352,"172.18.0.2",22,66,43,23,"6.5KB","3.7KB","2.8KB",flow
"Oct 24, 2022 @ 02:34:10.001","172.18.0.3",56352,"172.18.0.2",22,21,13,8,"2.4KB","1.1KB","1.3KB",flow
"Oct 24, 2022 @ 02:34:00.002","172.18.0.3",56352,"172.18.0.2",22,14,9,5,"1.7KB",852B,872B,flow
"Oct 24, 2022 @ 02:33:20.003","172.18.0.3",56352,"172.18.0.2",22,245,154,91,"23.9KB","12.7KB","11.2KB",flow
"Oct 24, 2022 @ 02:33:10.002","172.18.0.3",56352,"172.18.0.2",22,245,154,91,"23.9KB","12.7KB","11.2KB",flow
"Oct 24, 2022 @ 02:32:59.998","172.18.0.3",56352,"172.18.0.2",22,245,154,91,"23.9KB","12.7KB","11.2KB",flow
"Oct 24, 2022 @ 02:32:49.997","172.18.0.3",56352,"172.18.0.2",22,245,154,91,"23.9KB","12.7KB","11.2KB",flow
"Oct 24, 2022 @ 02:32:39.998","172.18.0.3",56352,"172.18.0.2",22,245,154,91,"23.9KB","12.7KB","11.2KB",flow
"Oct 24, 2022 @ 02:32:30.003","172.18.0.3",56352,"172.18.0.2",22,235,148,87,"22.9KB","12.3KB","10.7KB",flow
"Oct 24, 2022 @ 02:32:20.003","172.18.0.3",56352,"172.18.0.2",22,235,148,87,"22.9KB","12.3KB","10.7KB",flow
