"@timestamp","host.name","source.ip","destination.ip","related.ip","network.type","bytes_in","bytes_out",type,"dns.question.registered_domain","dns.question.top_level_domain",query,"source.port","destination.port",status
"Oct 25, 2022 @ 01:28:58.565",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:28:42.437",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:28:34.244",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:28:30.212",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:28:28.196",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:28:27.187",confluence,"93.177.103.215","172.17.0.3","93.177.103.215, 172.17.0.3",ipv4,44B,"-",icmp,"-","-","-","-","-",Error
"Oct 25, 2022 @ 01:27:00.872",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,336B,336B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:58.870",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,529B,529B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:56.870",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,527B,527B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:54.869",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,523B,523B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:52.868",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,525B,525B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:50.866",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,523B,523B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:48.865",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,527B,527B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:46.863",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,521B,521B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:44.861",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,521B,521B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:42.859",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,521B,521B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:40.858",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,522B,522B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:38.856",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,527B,527B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:36.855",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,525B,525B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:34.854",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,528B,528B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:32.853",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,531B,531B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:30.852",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,530B,530B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:28.850",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,522B,522B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:26.848",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,522B,522B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:24.848",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,527B,527B,icmp,"-","-","-","-","-",OK
"Oct 25, 2022 @ 01:26:22.845",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,521B,521B,icmp,"-","-","-","-","-",OK
